new_id,split,crop_name,source_image_id,source_transition,scale_factor,crop_width,crop_height,refined_width,refined_height,texture_a,texture_b,image_name,label_a_name,label_b_name,valid_fraction,overlap_fraction,void_fraction
41,validation,validation_ADE_val_00001613_t0_crop0,validation_ADE_val_00001613,validation_ADE_val_00001613_t0,1,728,262,728,262,calm dark water reflecting sky and reeds,dense green lily pads with white flowers,41.png,41.png,41.png,0.9840617397869307,0.0009804127170539385,0.014957847496015435
42,validation,validation_ADE_val_00001613_t1_crop0,validation_ADE_val_00001613,validation_ADE_val_00001613_t1,2,145,64,290,128,dense green lily pads with white flowers,tall dry golden reeds with thin stalks,42.png,42.png,42.png,1.0,0.0,0.0
43,validation,validation_ADE_val_00001616_t1_crop0,validation_ADE_val_00001616,validation_ADE_val_00001616_t1,2,182,120,364,240,calm reflective water surface with golden glow,dark wet sand with subtle texture,43.png,43.png,43.png,1.0,0.0,0.0
44,validation,validation_ADE_val_00001686_t2_crop0,validation_ADE_val_00001686,validation_ADE_val_00001686_t2,1,417,227,417,227,wet muddy bank with sparse reeds,damp green grass with dry patches,44.png,44.png,44.png,0.9699553132824137,0.0,0.030044686717586283
45,validation,validation_ADE_val_00001899_t3_crop0,validation_ADE_val_00001899,validation_ADE_val_00001899_t3,2,138,68,276,136,dense green grass with scattered shadows,light brown earth with sparse vegetation,45.png,45.png,45.png,1.0,0.0,0.0
46,validation,validation_ADE_val_00001917_t1_crop0,validation_ADE_val_00001917,validation_ADE_val_00001917_t1,2,167,64,334,128,wet mossy rock with greenish sheen,damp mossy ground with scattered shadows,46.png,46.png,46.png,1.0,0.0,0.0
47,validation,validation_ADE_val_00001917_t1_crop1,validation_ADE_val_00001917,validation_ADE_val_00001917_t1,2,151,104,302,208,wet mossy rock with greenish sheen,damp mossy ground with scattered shadows,47.png,47.png,47.png,1.0,0.0,0.0
48,validation,validation_ADE_val_00001952_t1_crop0,validation_ADE_val_00001952,validation_ADE_val_00001952_t1,2,256,184,512,368,dense green grass with scattered shadows,dark green tree canopy with dense foliage,48.png,48.png,48.png,1.0,0.0,0.0
49,validation,validation_ADE_val_00001953_t0_crop0,validation_ADE_val_00001953,validation_ADE_val_00001953_t0,2,135,64,270,128,dense green grass with scattered shadows,yellow flowering field with small blooms,49.png,49.png,49.png,1.0,0.0,0.0
50,validation,validation_ADE_val_00001953_t0_crop1,validation_ADE_val_00001953,validation_ADE_val_00001953_t0,2,188,169,376,338,dense green grass with scattered shadows,yellow flowering field with small blooms,50.png,50.png,50.png,1.0,0.0,0.0
51,validation,validation_ADE_val_00001986_t2_crop0,validation_ADE_val_00001986,validation_ADE_val_00001986_t2,1,427,259,427,259,dense green grass with scattered shadows,darker gray paved path with stone texture,51.png,51.png,51.png,0.969817257873464,0.0003255178899207002,0.029857224236615337
52,validation,validation_ADE_val_00001986_t2_crop1,validation_ADE_val_00001986,validation_ADE_val_00001986_t2,2,256,80,512,160,dense green grass with scattered shadows,darker gray paved path with stone texture,52.png,52.png,52.png,1.0,0.0,0.0
53,validation,validation_ADE_val_00001996_t1_crop0,validation_ADE_val_00001996,validation_ADE_val_00001996_t1,2,108,64,216,128,rough textured rock face with moss patches,smooth clear shallow water with gentle ripples,53.png,53.png,53.png,1.0,0.0,0.0
54,validation,validation_ADE_val_00001996_t1_crop1,validation_ADE_val_00001996,validation_ADE_val_00001996_t1,2,70,209,140,418,rough textured rock face with moss patches,smooth clear shallow water with gentle ripples,54.png,54.png,54.png,1.0,0.0,0.0
55,validation,validation_ADE_val_00001998_t0_crop0,validation_ADE_val_00001998,validation_ADE_val_00001998_t0,2,182,174,364,348,white foamy turbulent water with spray,dark wet rock face with moss patches,55.png,55.png,55.png,1.0,0.0,0.0
